num,title,units,lectures,sections,department
48719,Architecture Design Studio: AECM UDBS,18.0,"[{'times': [{'days': [1, 3, 5], 'begin': '12:30PM', 'end': '04:20PM', 'building': 'CFA', 'room': '200', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Folan']}]",[],Architecture
48722,Building Performance Modeling,12.0,"[{'times': [{'days': [2, 4], 'begin': '01:30PM', 'end': '02:50PM', 'building': 'MM', 'room': '415IW', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Karaguzel']}]",[],Architecture
48724,Scripting and Parametric Design,6.0,"[{'times': [{'days': [4], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'CFA', 'room': '317', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A2', 'instructors': ['Krishnamurti', 'Veloso']}]",[],Architecture
48725,Real Estate Design and Development,VAR,"[{'times': [{'days': [2, 4], 'begin': '10:30AM', 'end': '11:50AM', 'building': 'CFA', 'room': '206A', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Vavasis']}]",[],Architecture
48727,"Inquiry into Computation, Architecture and Design",9.0,"[{'times': [{'days': [3], 'begin': '09:00AM', 'end': '11:50AM', 'building': 'MM', 'room': '303', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Cardoso Llach']}]",[],Architecture
48729,"Productivity, Health and the Quality of Buildings",9-12,"[{'times': [{'days': [2, 4], 'begin': '09:00AM', 'end': '10:20AM', 'building': 'MM', 'room': '415IW', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Loftness']}]",[],Architecture
48731,Sustainable Design Synthesis Prep,12.0,"[{'times': [{'days': None, 'begin': None, 'end': None, 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Cochran', 'Cupkova']}]",[],Architecture
48732,Sustainable Design Synthesis,"0,12,24","[{'times': [{'days': None, 'begin': None, 'end': None, 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Cupkova', 'Cochran']}]",[],Architecture
48734,Reactive Spaces and Media Architecture,9.0,"[{'times': [{'days': [2, 4], 'begin': '12:00PM', 'end': '01:20PM', 'building': 'HL', 'room': 'A10', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Marsico']}]",[],Architecture
48736,Master's Independent Study,0-99,"[{'times': [{'days': None, 'begin': None, 'end': None, 'building': 'DNM', 'room': 'DNM', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Abdul-Aziz']}, {'times': [{'days': None, 'begin': None, 'end': None, 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'C', 'instructors': ['Cupkova']}, {'times': [{'days': None, 'begin': None, 'end': None, 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'D', 'instructors': ['Carter']}, {'times': [{'days': None, 'begin': None, 'end': None, 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'E', 'instructors': ['Cochran']}, {'times': [{'days': None, 'begin': None, 'end': None, 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'F', 'instructors': ['Ficca']}, {'times': [{'days': None, 'begin': None, 'end': None, 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'H', 'instructors': ['Hartkopf']}, {'times': [{'days': None, 'begin': None, 'end': None, 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'I', 'instructors': ['Oppenheim']}, {'times': [{'days': None, 'begin': None, 'end': None, 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'J', 'instructors': ['Folan']}, {'times': [{'days': None, 'begin': None, 'end': None, 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'K', 'instructors': ['Lam', 'Karaguzel']}, {'times': [{'days': None, 'begin': None, 'end': None, 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'M', 'instructors': ['Cardoso Llach']}, {'times': [{'days': None, 'begin': None, 'end': None, 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'O', 'instructors': ['Akin']}, {'times': [{'days': None, 'begin': None, 'end': None, 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'R', 'instructors': ['Krishnamurti']}, {'times': [{'days': None, 'begin': None, 'end': None, 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'S', 'instructors': ['Lee']}, {'times': [{'days': None, 'begin': None, 'end': None, 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'V', 'instructors': ['Loftness']}, {'times': [{'days': None, 'begin': None, 'end': None, 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'X', 'instructors': ['Shea', 'Kim', 'Levin']}]",[],Architecture
