num,name,units,lecture_days,l_begin,l_end,recitation_days,r_begin,r_end
36202,Methods for Statistics and Data Science,9.0,"['MO', 'WE', 'FR']",2017-09-09 09:30:00,2017-09-09 10:20:00,['FR'],2017-09-09 10:30:00,2017-09-09 11:20:00
36202,Methods for Statistics and Data Science,9.0,"['MO', 'WE', 'FR']",2017-09-09 09:30:00,2017-09-09 10:20:00,['FR'],2017-09-09 10:30:00,2017-09-09 11:20:00
36202,Methods for Statistics and Data Science,9.0,"['MO', 'WE', 'FR']",2017-09-09 09:30:00,2017-09-09 10:20:00,['FR'],2017-09-09 10:30:00,2017-09-09 11:20:00
36202,Methods for Statistics and Data Science,9.0,"['MO', 'WE', 'FR']",2017-09-09 09:30:00,2017-09-09 10:20:00,['FR'],2017-09-09 14:30:00,2017-09-09 15:20:00
36202,Methods for Statistics and Data Science,9.0,"['MO', 'WE', 'FR']",2017-09-09 09:30:00,2017-09-09 10:20:00,['FR'],2017-09-09 13:30:00,2017-09-09 14:20:00
36202,Methods for Statistics and Data Science,9.0,"['MO', 'WE', 'FR']",2017-09-09 09:30:00,2017-09-09 10:20:00,"['SU', 'TU', 'TH']",2017-09-09 08:30:00,2017-09-09 09:20:00
36202,Methods for Statistics and Data Science,9.0,"['MO', 'WE', 'FR']",2017-09-09 11:30:00,2017-09-09 12:20:00,['FR'],2017-09-09 10:30:00,2017-09-09 11:20:00
36202,Methods for Statistics and Data Science,9.0,"['MO', 'WE', 'FR']",2017-09-09 11:30:00,2017-09-09 12:20:00,['FR'],2017-09-09 10:30:00,2017-09-09 11:20:00
36202,Methods for Statistics and Data Science,9.0,"['MO', 'WE', 'FR']",2017-09-09 11:30:00,2017-09-09 12:20:00,['FR'],2017-09-09 10:30:00,2017-09-09 11:20:00
36202,Methods for Statistics and Data Science,9.0,"['MO', 'WE', 'FR']",2017-09-09 11:30:00,2017-09-09 12:20:00,['FR'],2017-09-09 14:30:00,2017-09-09 15:20:00
36202,Methods for Statistics and Data Science,9.0,"['MO', 'WE', 'FR']",2017-09-09 11:30:00,2017-09-09 12:20:00,['FR'],2017-09-09 13:30:00,2017-09-09 14:20:00
36202,Methods for Statistics and Data Science,9.0,"['MO', 'WE', 'FR']",2017-09-09 11:30:00,2017-09-09 12:20:00,"['SU', 'TU', 'TH']",2017-09-09 08:30:00,2017-09-09 09:20:00
36208,Regression Analysis,9.0,"['MO', 'WE']",2017-09-09 09:30:00,2017-09-09 10:20:00,['FR'],2017-09-09 09:30:00,2017-09-09 10:20:00
36208,Regression Analysis,9.0,"['MO', 'WE']",2017-09-09 09:30:00,2017-09-09 10:20:00,['FR'],2017-09-09 09:30:00,2017-09-09 10:20:00
36208,Regression Analysis,9.0,"['MO', 'WE']",2017-09-09 09:30:00,2017-09-09 10:20:00,['FR'],2017-09-09 10:30:00,2017-09-09 11:20:00
36208,Regression Analysis,9.0,"['MO', 'WE']",2017-09-09 09:30:00,2017-09-09 10:20:00,['FR'],2017-09-09 10:30:00,2017-09-09 11:20:00
36208,Regression Analysis,9.0,"['MO', 'WE']",2017-09-09 10:30:00,2017-09-09 11:20:00,['FR'],2017-09-09 09:30:00,2017-09-09 10:20:00
