Spring,2010,"SOIBELMAN, L. (co-taught)",CEE,12610,SPECIAL TOPIC,A,13,19,68%,8,3.63,3.13,3.75,3.75,3.75,3.25,3.88,3.63,3.5,,,,,,,,,
Spring,2010,"AKINCI, B. (co-taught)",CEE,12610,SPECIAL TOPIC,A,13,19,68%,7.54,3.62,3.23,3.92,3.54,4.08,3.54,4.38,3.77,3.62,,,,,,,,,
Fall,2010,BURCU AKINCI,CEE,12611,PROJCT MNGMNT CONSTR,A,21,46,46%,7.14,4.1,3.95,4.14,3.86,4.29,4.14,4.57,4.19,4.19,,,,,,,,,
Spring,2014,JANEL MILLER,CEE,12616,SP TPCS:CEE HNRS WRT,A,7,9,78%,2,4.14,4,4.43,4.29,4.43,4.29,4.14,4.29,3.86,,,,,,,,,
Spring,2013,JANEL MILLER,CEE,12616,SP TPCS:CEE HNRS WRT,A,5,5,100%,2,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,,,,,,,,,
Spring,2016,THOMAS LEECH,CEE,12620,ST: ENGRNG MECHANICS,A,10,12,83%,7.4,4.6,4.3,4.4,4.4,4.3,3.9,4.9,3.8,3.8,,,,,,,,,
Fall,2016,THOMAS LEECH,CEE,12620,ST: ENGRNG MECHANICS,A,12,14,86%,8.25,4.92,5,5,4.75,4.92,4.67,5,4.83,4.75,,,,,,,,,
Fall,2016,ALAN MCGAUGHEY,CEE,12623,MLCR SIMLN MATERLS,A,2,4,50%,15.5,5,5,5,5,5,5,5,5,5,,,,,,,,,
Fall,2015,ALAN MCGAUGHEY,CEE,12623,MLCR SIMLN MATERLS,A,3,3,100%,16.33,5,5,5,5,5,4.67,5,5,5,,,,,,,,,
Spring,2014,CRAIG MALONEY,CEE,12623,MLCR SIMLN MATERLS,A,3,4,75%,7,4,4.67,3.67,4,3.67,3.67,4.33,4,4,,,,,,,,,
Spring,2013,CRAIG MALONEY,CEE,12623,MLCR SIMLN MATERLS,A,6,6,100%,12,4.33,4.5,4.5,4.33,4.67,4.5,4.83,4.5,4.5,,,,,,,,,
Spring,2012,ALAN MCGAUGHEY,CEE,12623,MLCR SIMLN MATERLS,A,4,4,100%,10.25,4.75,5,5,5,5,4.75,5,5,5,,,,,,,,,
Spring,2011,ALAN MCGAUGHEY,CEE,12623,MLCR SIMLN MATERLS,A,3,3,100%,9,5,5,5,4.67,5,5,5,5,5,,,,,,,,,
Spring,2015,KELVIN GREGORY,CEE,12629,ENV MICROBIOLGY ENGR,A,3,3,100%,7,4.67,4.67,4.67,4.33,5,4.67,4.67,4.67,4.67,,,,,,,,,
Spring,2014,KELVIN GREGORY,CEE,12629,ENV MICROBIOLGY ENGR,A,3,3,100%,5,4.67,4.67,4.67,4.33,4.33,4.33,5,4.33,4.33,,,,,,,,,
Spring,2013,KELVIN GREGORY,CEE,12629,ENV MICROBIOLGY ENGR,A,2,3,67%,9.5,5,4,4,4,5,4.5,5,4.5,4.5,,,,,,,,,
Spring,2012,KELVIN GREGORY,CEE,12629,ENV MICROBIOLGY ENGR,A,2,2,100%,8,3.5,4,3.5,4,4.5,4.5,4.5,4,4,,,,,,,,,
